trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
260,False,"{'a': 0.015, 'e': 0.7259323042001402}",25,0,-78.82258853406768,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
261,False,"{'a': 0.015, 'e': 0.7155345328235222}",35,21,-72.06950328759794,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
262,False,"{'a': 0.015, 'e': 0.704975769195658}",30,0,-64.11760245861345,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
263,False,"{'a': 0.015, 'e': 0.6942583889938186}",35,5,-97.16814711083637,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",1
264,False,"{'a': 0.015, 'e': 0.6833848035833362}",20,0,-25.34524455595883,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
265,False,"{'a': 0.015, 'e': 0.672357459475056}",20,0,-77.05221509747724,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
266,False,"{'a': 0.015, 'e': 0.6611788377748802}",25,0,-64.55529271031494,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
267,False,"{'a': 0.015, 'e': 0.6498514536255324}",30,0,-91.4488827314977,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
268,False,"{'a': 0.015, 'e': 0.6383778556406595}",30,11,3.7574302782052684,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.015, 'e': 0.6267606253314031}",30,0,-88.77567363333378,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
270,False,"{'a': 0.015, 'e': 0.6150023765255744}",20,3,-58.32206090956827,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
271,False,"{'a': 0.015, 'e': 0.6031057547795493}",25,0,-6.453532705010637,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
272,False,"{'a': 0.015, 'e': 0.5910734367830314}",20,11,-9.181386992682016,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
273,False,"{'a': 0.015, 'e': 0.5789081297568104}",20,0,-65.861060675858,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
274,False,"{'a': 0.015, 'e': 0.5666125708436444}",25,0,-4.201330730568189,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
275,False,"{'a': 0.015, 'e': 0.5541895264924167}",25,0,-25.24647501991539,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
276,False,"{'a': 0.015, 'e': 0.5416417918356986}",20,3,-72.18909293559551,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
277,False,"{'a': 0.015, 'e': 0.5289721900608508}",25,5,-7.419829938188651,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",1
278,False,"{'a': 0.015, 'e': 0.5161835717748248}",25,13,-30.980086289700296,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
279,False,"{'a': 0.015, 'e': 0.5032788143627825}",25,12,10.38028952417776,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.015, 'e': 0.4902608213406994}",20,0,-35.55223585288502,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
281,False,"{'a': 0.015, 'e': 0.4771325217020878}",30,17,-57.51474890734456,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
282,False,"{'a': 0.015, 'e': 0.46389686925898094}",20,0,-43.50412552609568,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
283,False,"{'a': 0.015, 'e': 0.45055684197734025}",30,10,-24.253782792057468,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
284,False,"{'a': 0.015, 'e': 0.43711544130702784}",30,17,-1.624692484562541,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
285,False,"{'a': 0.015, 'e': 0.4235756915064883}",20,2,-9.205964688348423,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
286,False,"{'a': 0.015, 'e': 0.4099406389623056}",25,15,2.6698086655565954,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
287,False,"{'a': 0.015, 'e': 0.39621335150378123}",25,10,-87.98324870682825,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
288,False,"{'a': 0.015, 'e': 0.38239691771268025}",25,7,-13.25004980931689,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
289,False,"{'a': 0.015, 'e': 0.36849444622831967}",20,0,13.082305401462346,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.015, 'e': 0.35450906504813195}",25,0,16.631827370237204,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
291,False,"{'a': 0.015, 'e': 0.34044392082388153}",20,0,13.707719598624667,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
292,False,"{'a': 0.015, 'e': 0.3263021781536835}",20,1,-39.59432486782135,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
293,False,"{'a': 0.015, 'e': 0.312087018869978}",20,2,9.823498644130643,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
294,False,"{'a': 0.015, 'e': 0.29780164132363307}",20,7,0.602799305116112,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
295,False,"{'a': 0.015, 'e': 0.28344925966433243}",30,7,-52.58290554073035,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
296,False,"{'a': 0.015, 'e': 0.2690331031173999}",30,8,-59.488480920078345,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
297,False,"{'a': 0.015, 'e': 0.25455641525724004}",30,20,-0.1595726798506527,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.015, 'e': 0.24002245327754992}",20,6,13.368165756091354,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
299,False,"{'a': 0.015, 'e': 0.22543448725845952}",20,10,18.217834985336065,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.015, 'e': 0.2107957994307797}",20,9,11.680618500272622,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.015, 'e': 0.19610968343751695}",25,11,22.721265687852178,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.015, 'e': 0.18137944359281138}",25,19,9.097640186018417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.015, 'e': 0.1666083941384871}",25,0,-12.64806121286909,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
304,False,"{'a': 0.015, 'e': 0.15179985849835556}",25,13,17.486234681100157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.015, 'e': 0.13695716853046186}",20,10,3.2069163995856447,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.015, 'e': 0.12208366377743342}",25,1,33.414793884761714,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.015, 'e': 0.10718269071509164}",25,15,20.73554919015697,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.015, 'e': 0.09225760199951166}",25,16,4.574762507521247,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.015, 'e': 0.07731175571269151}",25,18,13.239463128090112,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.015, 'e': 0.06234851460699254}",25,15,19.07760792992382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.015, 'e': 0.047371245348536935}",25,2,23.98232738327845,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
312,False,"{'a': 0.015, 'e': 0.03238331775972473}",25,3,42.33787285296073,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.015, 'e': 0.017388104061032687}",30,12,29.73085341095102,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.015, 'e': 0.0023889781122815386}",30,18,23.504743838656694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.015, 'e': 0.01261068534646556}",30,10,30.075101820437048,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.015, 'e': 0.02760751145421152}",25,7,30.931466079985107,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.015, 'e': 0.04259812598834771}",20,14,10.207637720284865,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.015, 'e': 0.05757915612384602}",35,23,12.012579485996289,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.015, 'e': 0.0725472311921276}",30,19,20.273613724622088,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.015, 'e': 0.0874989834394464}",20,3,-13.505720521054432,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
321,False,"{'a': 0.015, 'e': 0.10243104878462488}",25,0,-9.083338761610356,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
322,False,"{'a': 0.015, 'e': 0.11734006757595546}",30,0,21.375513526372167,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
323,False,"{'a': 0.015, 'e': 0.13222268534710527}",25,14,8.219966441463628,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
324,False,"{'a': 0.015, 'e': 0.14707555357186222}",25,18,12.501646461759538,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.015, 'e': 0.16189533041753676}",25,11,-13.465932481595065,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
326,False,"{'a': 0.015, 'e': 0.17667868149685725}",25,20,7.59858931315923,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.015, 'e': 0.19142228061819944}",25,13,19.7452549295076,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.015, 'e': 0.20612281053395834}",25,0,-59.83890134081222,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
329,False,"{'a': 0.015, 'e': 0.22077696368692118}",20,8,13.75045167927716,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.015, 'e': 0.23538144295445118}",20,13,13.530705380222026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.015, 'e': 0.24993296239032356}",20,2,-8.554675769996397,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
332,False,"{'a': 0.015, 'e': 0.2644282479640549}",25,3,18.78123506457158,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
333,False,"{'a': 0.015, 'e': 0.27886403829754347}",20,0,10.247818310098909,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
334,False,"{'a': 0.015, 'e': 0.2932370853988631}",35,20,-27.58724373323191,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
335,False,"{'a': 0.015, 'e': 0.3075441553930527}",20,12,15.954835938915055,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.015, 'e': 0.3217820292497218}",20,11,-1.3858398571210369,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.015, 'e': 0.3359475035073167}",25,11,28.55093293186781,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.015, 'e': 0.3500373909938903}",30,14,-89.8551497674123,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
339,False,"{'a': 0.015, 'e': 0.3640485215442003}",20,13,9.167669000180492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.015, 'e': 0.37797774271298024}",20,14,9.96722034600947,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.015, 'e': 0.3918219204842322}",25,0,32.93489196561841,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
342,False,"{'a': 0.015, 'e': 0.4055779399763607}",20,11,-6.611732676920326,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
343,False,"{'a': 0.015, 'e': 0.4192427061430136}",35,19,-17.88790466529175,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
344,False,"{'a': 0.015, 'e': 0.43281314446945207}",20,11,-19.050944806124043,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
345,False,"{'a': 0.015, 'e': 0.4462862016643009}",20,0,-1.3181225186710703,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
346,False,"{'a': 0.015, 'e': 0.459658846346531}",20,11,15.926856265514498,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.015, 'e': 0.4729280697275052}",20,16,10.115006210033723,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.015, 'e': 0.48609088628794017}",30,19,15.926424489485608,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.015, 'e': 0.49914433444964096}",25,0,-43.51891572157181,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
350,False,"{'a': 0.015, 'e': 0.5120854772418407}",20,14,-0.03289377195008436,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.015, 'e': 0.5249114029620047}",25,7,-3.175102617486357,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
352,False,"{'a': 0.015, 'e': 0.5376192258309556}",30,15,5.937671396061885,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
353,False,"{'a': 0.015, 'e': 0.5502060866421593}",35,0,-37.39084526686316,"{0: 27, 1: 4, 2: 3, 3: 1, 4: 0}",0
354,False,"{'a': 0.015, 'e': 0.5626691534050324}",25,0,-107.22247541648679,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
355,False,"{'a': 0.015, 'e': 0.5750056219821327}",25,0,-45.80008876274231,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
356,False,"{'a': 0.015, 'e': 0.5872127167200731}",20,3,-2.9212658884514786,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
357,False,"{'a': 0.015, 'e': 0.5992876910740367}",20,12,-7.872202082027589,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
358,False,"{'a': 0.015, 'e': 0.6112278282257352}",25,9,-57.13387706280864,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
359,False,"{'a': 0.015, 'e': 0.6230304416946802}",20,2,-27.397327680252435,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
360,False,"{'a': 0.015, 'e': 0.634692875942634}",20,0,-85.50286774937065,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
361,False,"{'a': 0.015, 'e': 0.6462125069710918}",30,8,-79.07506985030132,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
362,False,"{'a': 0.015, 'e': 0.657586742911669}",20,3,-81.0236361858071,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
363,False,"{'a': 0.015, 'e': 0.6688130246092643}",25,15,-16.42703133408131,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
364,False,"{'a': 0.015, 'e': 0.6798888261978571}",20,11,-41.79013370431257,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
365,False,"{'a': 0.015, 'e': 0.6908116556688141}",30,1,-126.1164785165724,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 3}",1
366,False,"{'a': 0.015, 'e': 0.701579055431586}",25,3,-58.72943706512067,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 0}",1
367,False,"{'a': 0.015, 'e': 0.7121886028666498}",35,0,-97.16662095238851,"{0: 23, 1: 3, 2: 8, 3: 1, 4: 0}",0
368,False,"{'a': 0.015, 'e': 0.7226379108705916}",20,0,-28.993947828990112,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
369,False,"{'a': 0.015, 'e': 0.7329246283931939}",30,20,-49.361501787464455,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
370,False,"{'a': 0.015, 'e': 0.7430464409664099}",25,9,-73.88373582956092,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
371,False,"{'a': 0.015, 'e': 0.753001071225112}",20,0,-63.30323259792729,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
372,False,"{'a': 0.015, 'e': 0.7627862794194885}",35,15,-50.72282786094532,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
373,False,"{'a': 0.015, 'e': 0.7723998639189755}",25,0,-8.52301484958306,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
374,False,"{'a': 0.015, 'e': 0.7818396617076182}",20,0,-75.9738835345247,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
375,False,"{'a': 0.015, 'e': 0.7911035488707386}",20,0,-89.28289685734282,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
376,False,"{'a': 0.015, 'e': 0.8001894410728057}",20,0,-18.400607358606667,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
377,False,"{'a': 0.015, 'e': 0.8090952940264052}",30,0,-98.58424030492853,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
378,False,"{'a': 0.015, 'e': 0.8178191039521945}",20,0,-30.363497411081823,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
379,False,"{'a': 0.015, 'e': 0.8263589080297425}",20,0,-110.71733363492768,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
380,False,"{'a': 0.015, 'e': 0.8347127848391598}",20,0,-90.31041349965653,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
381,False,"{'a': 0.015, 'e': 0.842878854793406}",25,0,-40.00389728482892,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
382,False,"{'a': 0.015, 'e': 0.8508552805611921}",25,0,-65.8500131552655,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
383,False,"{'a': 0.015, 'e': 0.8586402674803711}",20,0,-69.64745714543109,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
384,False,"{'a': 0.015, 'e': 0.8662320639617282}",20,0,-130.46778154683128,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
385,False,"{'a': 0.015, 'e': 0.873628961883083}",20,0,-126.71571871048039,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
386,False,"{'a': 0.015, 'e': 0.880829296973609}",25,6,-75.20952064111157,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
387,False,"{'a': 0.015, 'e': 0.8878314491882863}",25,12,-71.5954669106841,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
388,False,"{'a': 0.015, 'e': 0.8946338430724071}",25,10,-22.946029847008862,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
389,False,"{'a': 0.015, 'e': 0.9012349481160451}",20,0,-129.95555430974926,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
390,False,"{'a': 0.015, 'e': 0.9076332790984132}",20,0,-30.320712713184353,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
391,False,"{'a': 0.015, 'e': 0.9138273964220336}",25,0,-99.63465932886389,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
392,False,"{'a': 0.015, 'e': 0.9198159064366391}",20,0,-34.191569896853764,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
393,False,"{'a': 0.015, 'e': 0.9255974617527406}",20,0,-23.807754398347527,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
394,False,"{'a': 0.015, 'e': 0.9311707615447831}",25,0,-67.69433552246778,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
395,False,"{'a': 0.015, 'e': 0.9365345518438248}",30,0,-151.76930835750596,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
396,False,"{'a': 0.015, 'e': 0.9416876258196774}",20,0,-60.89528894386527,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
397,False,"{'a': 0.015, 'e': 0.9466288240524355}",25,0,-76.59638032559856,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
398,False,"{'a': 0.015, 'e': 0.951357034793342}",20,14,9.458002438796425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.015, 'e': 0.9558711942149274}",30,0,-80.36716422510996,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
400,False,"{'a': 0.015, 'e': 0.960170286650366}",20,8,-206.51288351042123,"{0: 4, 1: 1, 2: 1, 3: 2, 4: 4}",1
401,False,"{'a': 0.015, 'e': 0.9642533448219961}",25,0,-158.06415450630845,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
402,False,"{'a': 0.015, 'e': 0.9681194500589545}",20,0,-147.5861634859638,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
403,False,"{'a': 0.015, 'e': 0.9717677325038732}",30,0,-114.31116929786663,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
404,False,"{'a': 0.015, 'e': 0.9751973713085926}",30,0,-171.45924096892122,"{0: 15, 1: 7, 2: 3, 3: 4, 4: 1}",0
405,False,"{'a': 0.015, 'e': 0.978407594818851}",20,0,-42.58144491146055,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
406,False,"{'a': 0.015, 'e': 0.9813976807479009}",20,0,-111.80511963595383,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
407,False,"{'a': 0.015, 'e': 0.984166956339023}",35,0,-59.49807423800179,"{0: 25, 1: 3, 2: 7, 3: 0, 4: 0}",0
408,False,"{'a': 0.015, 'e': 0.9867147985168921}",35,0,-87.6168328935439,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
409,False,"{'a': 0.015, 'e': 0.9890406340277667}",25,17,8.297847744938759,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.015, 'e': 0.9911439395684689}",30,0,-237.2737772211919,"{0: 13, 1: 2, 2: 12, 3: 0, 4: 3}",0
411,False,"{'a': 0.015, 'e': 0.9930242419041254}",30,0,-143.31549095888053,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
412,False,"{'a': 0.015, 'e': 0.994681117974643}",25,0,-115.49768491546124,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
413,False,"{'a': 0.015, 'e': 0.9961141949898958}",30,0,-268.6984256044399,"{0: 12, 1: 6, 2: 7, 3: 1, 4: 4}",0
414,False,"{'a': 0.015, 'e': 0.9973231505136012}",30,0,-141.0314578555541,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
415,False,"{'a': 0.015, 'e': 0.9983077125358665}",20,0,-135.4125714436912,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
416,False,"{'a': 0.015, 'e': 0.9990676595343903}",20,0,-227.36552614874591,"{0: 7, 1: 1, 2: 7, 3: 2, 4: 3}",0
417,False,"{'a': 0.015, 'e': 0.9996028205243038}",25,0,-38.5706284579877,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
418,False,"{'a': 0.015, 'e': 0.9999130750966423}",20,0,-142.65034105277257,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
419,False,"{'a': 0.015, 'e': 0.9999983534454356}",30,0,-102.14965157602076,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
420,False,"{'a': 0.015, 'e': 0.9998586363834151}",20,0,-141.59590760520783,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
421,False,"{'a': 0.015, 'e': 0.9994939553463303}",20,0,-193.30403692486178,"{0: 9, 1: 0, 2: 6, 3: 3, 4: 2}",0
422,False,"{'a': 0.015, 'e': 0.9989043923858761}",20,0,-151.99212289765134,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
423,False,"{'a': 0.015, 'e': 0.9980900801512315}",25,18,0.8249716334947088,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
424,False,"{'a': 0.015, 'e': 0.9970512018592137}",25,0,-95.1225213947901,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
425,False,"{'a': 0.015, 'e': 0.9957879912530557}",35,0,-157.83556910394807,"{0: 18, 1: 8, 2: 6, 3: 2, 4: 1}",0
426,False,"{'a': 0.015, 'e': 0.994300732549815}",20,0,-63.859809612017145,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
427,False,"{'a': 0.015, 'e': 0.9925897603764253}",25,0,-78.75992705495194,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
428,False,"{'a': 0.015, 'e': 0.9906554596944075}",20,0,-166.84480920441058,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
429,False,"{'a': 0.015, 'e': 0.9884982657132549}",20,0,-136.0218412473103,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
430,False,"{'a': 0.015, 'e': 0.9861186637925126}",25,0,-107.05838990753809,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
431,False,"{'a': 0.015, 'e': 0.9835171893325738}",25,0,-89.40708257582008,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
432,False,"{'a': 0.015, 'e': 0.9806944276542173}",25,0,-191.31103372160322,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
433,False,"{'a': 0.015, 'e': 0.9776510138669121}",20,0,-237.73180820295033,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 5}",0
434,False,"{'a': 0.015, 'e': 0.9743876327259212}",20,0,-111.3363826597016,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
435,False,"{'a': 0.015, 'e': 0.9709050184782341}",20,0,-117.76194910736575,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
436,False,"{'a': 0.015, 'e': 0.9672039546973639}",25,0,-163.3426405762544,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
437,False,"{'a': 0.015, 'e': 0.9632852741070481}",30,19,-10.038716006549697,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
438,False,"{'a': 0.015, 'e': 0.9591498583938874}",25,0,-216.0891605994513,"{0: 16, 1: 1, 2: 1, 3: 3, 4: 4}",0
439,False,"{'a': 0.015, 'e': 0.9547986380089711}",20,0,-100.52941003216661,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
440,False,"{'a': 0.015, 'e': 0.9502325919585296}",20,0,-143.7874521574198,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
441,False,"{'a': 0.015, 'e': 0.945452747583661}",20,0,-201.55835290370476,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
442,False,"{'a': 0.015, 'e': 0.9404601803291848}",25,0,-54.01837031524995,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
443,False,"{'a': 0.015, 'e': 0.9352560135016713}",25,0,-136.29281252810807,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
