trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.015, 'e': 0.24178370161672802}",30,17,11.60357017206908,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.015, 'e': 0.2563109082275225}",25,13,25.329316763058472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.015, 'e': 0.27078044596526957}",25,8,24.798269412196724,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.015, 'e': 0.28518905924502064}",20,10,-22.38851590693363,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.015, 'e': 0.29953350618957414}",20,9,-2.934685016045727,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.015, 'e': 0.31381055935888225}",20,6,-7.011176631210679,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.015, 'e': 0.3280170064762132}",35,23,-39.08895030552842,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.015, 'e': 0.3421496511508982}",20,7,2.63781191350245,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.015, 'e': 0.3562053135975072}",30,0,7.712587346165302,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
130,False,"{'a': 0.015, 'e': 0.3701808313512869}",30,12,-95.82013104191252,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1
131,False,"{'a': 0.015, 'e': 0.384073059979701}",25,0,13.67111993903228,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.015, 'e': 0.397878873789916}",30,1,12.670198805653706,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.015, 'e': 0.4115951665320669}",35,15,-0.7069653863509673,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.015, 'e': 0.4252188520981522}",20,15,-5.8755411182639445,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.015, 'e': 0.4387468652163942}",20,0,-29.246481787176986,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
136,False,"{'a': 0.015, 'e': 0.45217616214091194}",25,0,-40.33961275816934,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
137,False,"{'a': 0.015, 'e': 0.4655037213365515}",25,0,17.812204656383802,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.015, 'e': 0.4787265441587198}",25,0,-87.54102860188452,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
139,False,"{'a': 0.015, 'e': 0.49184165552806486}",25,0,-48.4307044527199,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
140,False,"{'a': 0.015, 'e': 0.5048461045998576}",20,0,-127.56541257152361,"{0: 9, 1: 0, 2: 8, 3: 3, 4: 0}",0
141,False,"{'a': 0.015, 'e': 0.5177369654279184}",25,14,7.583048182291532,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.015, 'e': 0.5305113376229448}",20,9,-68.95491804361335,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
143,False,"{'a': 0.015, 'e': 0.5431663470050839}",25,8,-36.33445386036027,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 0}",1
144,False,"{'a': 0.015, 'e': 0.5556991462506127}",25,0,-32.96825275638209,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
145,False,"{'a': 0.015, 'e': 0.568106915532573}",30,7,-18.82789133645006,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
146,False,"{'a': 0.015, 'e': 0.5803868631552218}",35,0,-165.0159846373209,"{0: 25, 1: 3, 2: 2, 3: 2, 4: 3}",0
147,False,"{'a': 0.015, 'e': 0.5925362261821495}",25,8,-42.542377326533455,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 0}",1
148,False,"{'a': 0.015, 'e': 0.6045522710579293}",20,0,-64.86287408094073,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.015, 'e': 0.6164322942231572}",20,0,-74.86175123122979,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
150,False,"{'a': 0.015, 'e': 0.6281736227227391}",30,0,-144.47914962541154,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
151,False,"{'a': 0.015, 'e': 0.639773614807296}",25,15,4.716213058627284,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
